CLASS	# of mem	std of age	std p-value
Hyperlipidemias	2	3.00	7.1000e-02
Biliary Tract Neoplasms	15	2.84	3.0000e-04
HCMV Infection	2	1.50	6.6700e-02
Keloid	2	0.00	1.4060e-01
Ovarian Neoplasms	125	2.88	0.0000e+00
Acute Lung Injury	2	1.50	6.9300e-02
Schizophrenia	36	2.27	0.0000e+00
Infertility, Male	17	4.28	1.5000e-03
Lymphoma, B-Cell	33	2.03	0.0000e+00
Adenocarcinoma	51	1.97	0.0000e+00
Periodontitis	17	4.58	1.4000e-03
Colorectal Neoplasms	160	3.33	0.0000e+00
Cervical Intraepithelial Neoplasia	2	0.50	1.5820e-01
Sarcoma, Kaposi	19	4.69	2.0000e-04
Leiomyoma	8	1.94	1.0000e-04
Aging	6	4.23	1.1000e-03
Aortic Aneurysm, Thoracic	15	1.45	0.0000e+00
Reperfusion Injury	14	2.09	1.0000e-04
Asthma	21	1.81	0.0000e+00
Aortic Valve Insufficiency	4	0.71	8.8000e-03
ACTH-Secreting Pituitary Adenoma	11	1.44	1.0000e-04
Diabetic Nephropathies	10	1.56	1.0000e-04
Tongue Neoplasms	4	1.09	1.2400e-02
Thyroid Neoplasms	52	2.37	0.0000e+00
Cholesteatoma	5	0.80	1.1700e-02
Burkitt Lymphoma	10	1.95	1.0000e-04
Autistic Disorder	37	2.58	0.0000e+00
Mouth Neoplasms	28	2.84	0.0000e+00
Vascular Diseases	9	1.93	1.0000e-04
Hand, Foot and Mouth Disease	7	1.92	0.0000e+00
Leukemia, Myeloid, Chronic-Phase	5	0.80	1.2700e-02
Rhabdomyosarcoma	10	1.54	0.0000e+00
Kidney Diseases	7	1.50	1.5000e-03
Anxiety Disorders	5	3.38	2.3400e-02
Nervous System Diseases	4	1.50	5.8000e-03
Graves Disease	3	0.47	6.5800e-02
Colitis, Ulcerative	8	6.04	1.0000e-04
Down Syndrome	2	5.00	3.7400e-02
Stomach Neoplasms	193	3.90	0.0000e+00
HBV Infection	7	1.92	0.0000e+00
Fibrosarcoma	2	0.00	1.3630e-01
Antiphospholipid Syndrome	2	1.00	1.3440e-01
HIV	11	1.60	0.0000e+00
Eosinophilic Esophagitis	28	2.24	0.0000e+00
Lupus Nephritis	5	2.80	9.3000e-03
Myocardial Reperfusion Injury	2	1.50	6.5800e-02
Arthritis	2	1.00	1.3040e-01
HPV Infection	6	3.37	3.0000e-03
Myelodysplastic Syndromes	40	2.64	0.0000e+00
Myocardial Ischemia	6	1.41	3.0000e-04
Cicatrix	2	0.00	1.3540e-01
Cervical Neoplasms	2	0.50	1.5870e-01
Atrial Fibrillation	20	2.92	0.0000e+00
Retinal Neovascularization	6	2.05	3.0000e-04
Lymphoma	54	3.14	0.0000e+00
Testicular Neoplasms	7	3.37	2.9000e-03
Cardiomyopathy, Dilated	5	1.83	6.0000e-04
Lymphoma, Mantle-Cell	11	2.15	0.0000e+00
Diabetes Mellitus, Type 2	15	1.74	0.0000e+00
Lichen Planus, Oral	8	2.12	2.0000e-04
Sarcoma, Synovial	3	0.47	6.3300e-02
Neoplasms, Germ Cell and Embryonal	2	0.50	1.6220e-01
Leukemia, Lymphocytic, Chronic, B-Cell	45	2.31	0.0000e+00
Toxoplasma	7	2.29	8.0000e-04
Medulloblastoma	74	2.88	0.0000e+00
Rectal Neoplasms	24	4.25	1.4000e-03
AIDS Dementia Complex	2	0.00	1.4270e-01
Nevus, Pigmented	3	1.41	2.8700e-02
Arthritis, Psoriatic	2	1.50	7.2300e-02
Trophoblasts	6	1.34	2.4000e-03
Hepatitis B	33	3.38	1.0000e-04
Arthritis, Rheumatoid	19	2.75	0.0000e+00
Carcinoma, Squamous Cell	89	2.83	0.0000e+00
Amyloidosis	4	1.50	5.4000e-03
Hypertrophy	27	2.02	0.0000e+00
Cardiomyopathies	6	2.21	7.0000e-04
Spinal Cord Injuries	8	1.58	1.0000e-04
Hemangiosarcoma	6	1.00	2.4000e-03
Rhinitis, Allergic, Perennial	9	2.85	6.0000e-04
Gout	13	0.82	0.0000e+00
Leukemia, Biphenotypic, Acute	3	4.50	2.2700e-02
Muscular Disorders, Atrophic	48	1.91	0.0000e+00
Glioma	79	2.43	0.0000e+00
Hepatitis C	36	2.68	0.0000e+00
Heart Diseases	3	1.41	2.4700e-02
Osteosarcoma	48	1.98	0.0000e+00
PRRSV Infection	4	1.66	3.1000e-03
Meningioma	6	1.57	2.0000e-04
Heart Failure	130	3.51	0.0000e+00
Glioblastoma	112	2.67	0.0000e+00
Lymphoma, Large-Cell, Anaplastic	11	2.11	3.0000e-04
Azoospermia	18	3.89	1.3000e-03
Stroke	16	2.71	1.0000e-04
Alopecia	5	1.47	3.2000e-03
Cardiomegaly	8	2.37	1.1000e-03
Head and Neck Neoplasms	76	2.61	0.0000e+00
Lymphoproliferative Disorders	3	1.41	2.4900e-02
